money,coffee_name
32.82,Americano with Milk
32.82,Americano with Milk
37.72,Latte
32.82,Americano with Milk
32.82,Americano with Milk
32.82,Americano with Milk
32.82,Americano with Milk
32.82,Americano with Milk
32.82,Americano with Milk
37.72,Cappuccino
27.92,Americano
37.72,Latte
27.92,Americano
27.92,Americano
37.72,Latte
37.72,Latte
37.72,Cappuccino
27.92,Americano
27.92,Americano
27.92,Cortado
27.92,Americano
37.72,Hot Chocolate
37.72,Cocoa
37.72,Cappuccino
37.72,Latte
37.72,Cappuccino
27.92,Americano
27.92,Americano
37.72,Latte
27.92,Cortado
27.92,Americano
27.92,Cortado
27.92,Cortado
32.82,Americano with Milk
37.72,Cappuccino
37.72,Cappuccino
37.72,Cappuccino
37.72,Latte
32.82,Americano with Milk
32.82,Americano with Milk
27.92,Americano
32.82,Americano with Milk
37.72,Cappuccino
32.82,Americano with Milk
37.72,Latte
27.92,Americano
32.82,Americano with Milk
37.72,Cappuccino
32.82,Americano with Milk
37.72,Latte
37.72,Cappuccino
37.72,Latte
37.72,Latte
27.92,Americano
37.72,Cappuccino
32.82,Americano with Milk
27.92,Americano
27.92,Cortado
27.92,Cortado
27.92,Americano
37.72,Cappuccino
37.72,Cappuccino
37.72,Cocoa
27.92,Cortado
27.92,Cortado
37.72,Cocoa
27.92,Americano
37.72,Cappuccino
37.72,Latte
37.72,Cappuccino
37.72,Cappuccino
37.72,Latte
37.72,Cappuccino
27.92,Americano
37.72,Latte
37.72,Latte
37.72,Latte
27.92,Americano
27.92,Americano
27.92,Americano
32.82,Americano with Milk
37.72,Latte
37.72,Latte
37.72,Latte
32.82,Americano with Milk
37.72,Cocoa
37.72,Cappuccino
32.82,Americano with Milk
37.72,Cappuccino
37.72,Latte
37.72,Latte
37.72,Latte
27.92,Americano
37.72,Latte
32.82,Americano with Milk
32.82,Americano with Milk
32.82,Americano with Milk
32.82,Americano with Milk
32.82,Americano with Milk
27.92,Americano
27.92,Americano
27.92,Americano
37.72,Cappuccino
37.72,Latte
37.72,Cappuccino
37.72,Cappuccino
32.82,Americano with Milk
27.92,Americano
32.82,Americano with Milk
37.72,Cappuccino
37.72,Hot Chocolate
37.72,Latte
23.02,Espresso
27.92,Americano
27.92,Americano
27.92,Americano
27.92,Americano
32.82,Americano with Milk
27.92,Cortado
27.92,Cortado
23.02,Espresso
37.72,Cappuccino
32.82,Americano with Milk
32.82,Americano with Milk
32.82,Americano with Milk
37.72,Hot Chocolate
37.72,Latte
37.72,Hot Chocolate
37.72,Latte
27.92,Americano
32.82,Americano with Milk
32.82,Americano with Milk
37.72,Cappuccino
37.72,Cappuccino
27.92,Americano
37.72,Latte
37.72,Latte
37.72,Cappuccino
37.72,Cappuccino
32.82,Americano with Milk
32.82,Americano with Milk
32.82,Americano with Milk
32.82,Americano with Milk
37.72,Latte
27.92,Americano
27.92,Americano
37.72,Cappuccino
32.82,Americano with Milk
27.92,Americano
32.82,Americano with Milk
32.82,Americano with Milk
23.02,Espresso
37.72,Hot Chocolate
37.72,Cappuccino
37.72,Cappuccino
37.72,Cappuccino
32.82,Americano with Milk
37.72,Latte
37.72,Latte
27.92,Americano
27.92,Americano
27.92,Americano
27.92,Americano
32.82,Americano with Milk
37.72,Cappuccino
37.72,Latte
37.72,Latte
32.82,Americano with Milk
37.72,Cocoa
27.92,Cortado
32.82,Americano with Milk
32.82,Americano with Milk
37.72,Latte
37.72,Latte
23.02,Espresso
37.72,Cappuccino
37.72,Cappuccino
37.72,Cappuccino
32.82,Americano with Milk
27.92,Cortado
32.82,Americano with Milk
27.92,Americano
27.92,Americano
32.82,Americano with Milk
37.72,Cappuccino
37.72,Cappuccino
37.72,Hot Chocolate
37.72,Cappuccino
37.72,Cappuccino
23.02,Espresso
37.72,Cappuccino
37.72,Cappuccino
37.72,Cappuccino
37.72,Latte
37.72,Cappuccino
37.72,Latte
27.92,Cortado
37.72,Cappuccino
37.72,Cappuccino
37.72,Cappuccino
37.72,Cappuccino
37.72,Latte
32.82,Americano with Milk
27.92,Cortado
27.92,Americano
27.92,Americano
37.72,Hot Chocolate
27.92,Cortado
27.92,Cortado
32.82,Americano with Milk
37.72,Latte
32.82,Americano with Milk
32.82,Americano with Milk
32.82,Americano with Milk
32.82,Americano with Milk
27.92,Americano
37.72,Latte
32.82,Americano with Milk
27.92,Cortado
32.82,Americano with Milk
37.72,Cappuccino
37.72,Hot Chocolate
37.72,Hot Chocolate
27.92,Americano
37.72,Latte
37.72,Hot Chocolate
37.72,Cappuccino
27.92,Cortado
37.72,Cappuccino
37.72,Latte
37.72,Cappuccino
27.92,Americano
32.82,Americano with Milk
37.72,Cocoa
27.92,Americano
27.92,Americano
37.72,Latte
27.92,Americano
37.72,Latte
37.72,Latte
32.82,Americano with Milk
37.72,Cappuccino
32.82,Americano with Milk
32.82,Americano with Milk
37.72,Cappuccino
37.72,Cappuccino
37.72,Cocoa
27.92,Cortado
27.92,Americano
37.72,Latte
32.82,Americano with Milk
27.92,Americano
37.72,Latte
37.72,Hot Chocolate
27.92,Americano
37.72,Latte
37.72,Cappuccino
37.72,Latte
27.92,Cortado
37.72,Latte
37.72,Hot Chocolate
37.72,Cocoa
37.72,Cappuccino
37.72,Latte
32.82,Americano with Milk
37.72,Latte
32.82,Americano with Milk
23.02,Espresso
23.02,Espresso
37.72,Cappuccino
37.72,Latte
37.72,Hot Chocolate
32.82,Americano with Milk
32.82,Americano with Milk
37.72,Latte
37.72,Hot Chocolate
37.72,Cocoa
32.82,Americano with Milk
37.72,Latte
37.72,Latte
37.72,Cappuccino
32.82,Americano with Milk
37.72,Latte
37.72,Cappuccino
32.82,Americano with Milk
27.92,Cortado
27.92,Cortado
37.72,Latte
37.72,Latte
32.82,Americano with Milk
32.82,Americano with Milk
32.82,Americano with Milk
37.72,Cappuccino
37.72,Cappuccino
37.72,Cocoa
32.82,Americano with Milk
37.72,Latte
32.82,Americano with Milk
37.72,Cappuccino
32.82,Americano with Milk
37.72,Latte
37.72,Latte
37.72,Latte
37.72,Cappuccino
32.82,Americano with Milk
37.72,Latte
27.92,Cortado
32.82,Americano with Milk
37.72,Latte
37.72,Hot Chocolate
37.72,Latte
27.92,Cortado
37.72,Cappuccino
37.72,Hot Chocolate
37.72,Cappuccino
27.92,Cortado
32.82,Americano with Milk
32.82,Americano with Milk
32.82,Americano with Milk
32.82,Americano with Milk
37.72,Cappuccino
37.72,Cappuccino
27.92,Americano
37.72,Latte
32.82,Americano with Milk
32.82,Americano with Milk
37.72,Latte
37.72,Cocoa
27.92,Cortado
32.82,Americano with Milk
32.82,Americano with Milk
37.72,Latte
27.92,Americano
32.82,Americano with Milk
37.72,Cappuccino
37.72,Latte
37.72,Latte
37.72,Cappuccino
32.82,Americano with Milk
37.72,Latte
37.72,Cappuccino
23.02,Espresso
32.82,Americano with Milk
27.92,Cortado
27.92,Cortado
27.92,Cortado
32.82,Americano with Milk
37.72,Cappuccino
37.72,Cappuccino
37.72,Latte
37.72,Latte
37.72,Cappuccino
27.92,Cortado
23.02,Espresso
37.72,Cappuccino
32.82,Americano with Milk
37.72,Latte
37.72,Latte
27.92,Cortado
37.72,Cappuccino
32.82,Americano with Milk
27.92,Americano
37.72,Cappuccino
37.72,Latte
37.72,Hot Chocolate
37.72,Hot Chocolate
37.72,Latte
37.72,Latte
32.82,Americano with Milk
37.72,Latte
37.72,Latte
37.72,Hot Chocolate
32.82,Americano with Milk
32.82,Americano with Milk
37.72,Hot Chocolate
37.72,Cappuccino
37.72,Latte
37.72,Latte
37.72,Hot Chocolate
32.82,Americano with Milk
27.92,Americano
37.72,Latte
32.82,Americano with Milk
27.92,Cortado
32.82,Americano with Milk
37.72,Hot Chocolate
37.72,Latte
32.82,Americano with Milk
23.02,Espresso
23.02,Espresso
32.82,Americano with Milk
32.82,Americano with Milk
27.92,Cortado
27.92,Americano
37.72,Latte
32.82,Americano with Milk
37.72,Cappuccino
37.72,Latte
32.82,Americano with Milk
23.02,Espresso
37.72,Cocoa
32.82,Americano with Milk
32.82,Americano with Milk
27.92,Americano
32.82,Americano with Milk
37.72,Latte
37.72,Hot Chocolate
37.72,Hot Chocolate
32.82,Americano with Milk
23.02,Espresso
32.82,Americano with Milk
32.82,Americano with Milk
37.72,Hot Chocolate
37.72,Hot Chocolate
32.82,Americano with Milk
32.82,Americano with Milk
27.92,Americano
27.92,Cortado
27.92,Cortado
37.72,Cappuccino
37.72,Cappuccino
37.72,Cappuccino
37.72,Cappuccino
27.92,Americano
27.92,Americano
32.82,Americano with Milk
27.92,Americano
37.72,Cappuccino
37.72,Cappuccino
37.72,Cappuccino
27.92,Cortado
32.82,Americano with Milk
32.82,Americano with Milk
37.72,Latte
27.92,Cortado
27.92,Americano
37.72,Latte
37.72,Cocoa
32.82,Americano with Milk
37.72,Cappuccino
37.72,Latte
32.82,Americano with Milk
37.72,Cappuccino
32.82,Americano with Milk
37.72,Latte
37.72,Latte
37.72,Latte
37.72,Latte
37.72,Latte
32.82,Americano with Milk
37.72,Latte
27.92,Americano
32.82,Americano with Milk
32.82,Americano with Milk
23.02,Espresso
37.72,Latte
37.72,Cappuccino
37.72,Cappuccino
37.72,Cappuccino
37.72,Cappuccino
27.92,Americano
32.82,Americano with Milk
27.92,Cortado
32.82,Americano with Milk
32.82,Americano with Milk
37.72,Latte
37.72,Cappuccino
32.82,Americano with Milk
32.82,Americano with Milk
37.72,Cappuccino
37.72,Latte
37.72,Cappuccino
32.82,Americano with Milk
37.72,Cappuccino
37.72,Cappuccino
37.72,Latte
37.72,Cappuccino
37.72,Cappuccino
37.72,Latte
32.82,Americano with Milk
32.82,Americano with Milk
37.72,Cappuccino
37.72,Latte
23.02,Espresso
27.92,Americano
37.72,Latte
37.72,Cappuccino
32.82,Americano with Milk
32.82,Americano with Milk
27.92,Cortado
32.82,Americano with Milk
37.72,Cappuccino
27.92,Cortado
23.02,Espresso
32.82,Americano with Milk
37.72,Latte
37.72,Cappuccino
32.82,Americano with Milk
32.82,Americano with Milk
32.82,Americano with Milk
37.72,Cappuccino
37.72,Cappuccino
37.72,Cappuccino
37.72,Hot Chocolate
37.72,Latte
37.72,Latte
23.02,Espresso
37.72,Hot Chocolate
32.82,Americano with Milk
23.02,Espresso
37.72,Cappuccino
37.72,Cappuccino
32.82,Americano with Milk
27.92,Americano
37.72,Latte
27.92,Americano
32.82,Americano with Milk
32.82,Americano with Milk
32.82,Americano with Milk
37.72,Cappuccino
37.72,Cappuccino
32.82,Americano with Milk
32.82,Americano with Milk
37.72,Latte
23.02,Espresso
37.72,Cappuccino
37.72,Latte
32.82,Americano with Milk
27.92,Americano
37.72,Cocoa
32.82,Americano with Milk
32.82,Americano with Milk
23.02,Espresso
27.92,Americano
23.02,Espresso
27.92,Americano
27.92,Americano
37.72,Cappuccino
32.82,Americano with Milk
37.72,Latte
32.82,Latte
32.82,Latte
32.82,Latte
27.92,Americano with Milk
32.82,Cappuccino
27.92,Americano with Milk
27.92,Americano with Milk
32.82,Cappuccino
32.82,Cappuccino
32.82,Hot Chocolate
32.82,Cocoa
32.82,Latte
32.82,Cappuccino
32.82,Hot Chocolate
27.92,Americano with Milk
32.82,Latte
23.02,Americano
23.02,Americano
27.92,Americano with Milk
32.82,Latte
27.92,Americano with Milk
27.92,Americano with Milk
27.92,Americano with Milk
32.82,Cappuccino
27.92,Americano with Milk
23.02,Americano
27.92,Americano with Milk
32.82,Latte
32.82,Hot Chocolate
27.92,Americano with Milk
32.82,Latte
23.02,Americano
23.02,Cortado
32.82,Hot Chocolate
32.82,Hot Chocolate
32.82,Hot Chocolate
32.82,Hot Chocolate
32.82,Latte
32.82,Latte
23.02,Americano
27.92,Americano with Milk
32.82,Cappuccino
32.82,Latte
23.02,Americano
32.82,Latte
32.82,Cappuccino
27.92,Americano with Milk
32.82,Hot Chocolate
27.92,Americano with Milk
27.92,Americano with Milk
18.12,Espresso
23.02,Americano
23.02,Americano
23.02,Cortado
32.82,Latte
32.82,Cappuccino
32.82,Latte
32.82,Hot Chocolate
32.82,Latte
32.82,Latte
23.02,Americano
27.92,Americano with Milk
32.82,Latte
27.92,Americano with Milk
32.82,Latte
32.82,Cocoa
32.82,Latte
32.82,Latte
23.02,Americano
32.82,Latte
23.02,Americano
32.82,Latte
32.82,Latte
23.02,Americano
32.82,Latte
32.82,Cocoa
32.82,Cappuccino
23.02,Cortado
32.82,Latte
23.02,Americano
23.02,Americano
27.92,Americano with Milk
32.82,Latte
32.82,Latte
23.02,Americano
27.92,Americano with Milk
32.82,Cocoa
32.82,Latte
23.02,Americano
27.92,Americano with Milk
27.92,Americano with Milk
32.82,Latte
32.82,Latte
23.02,Americano
23.02,Americano
27.92,Americano with Milk
27.92,Americano with Milk
18.12,Espresso
32.82,Cappuccino
32.82,Latte
18.12,Espresso
32.82,Latte
32.82,Cappuccino
32.82,Cappuccino
27.92,Americano with Milk
23.02,Americano
23.02,Americano
23.02,Americano
32.82,Latte
27.92,Americano with Milk
23.02,Americano
32.82,Cappuccino
32.82,Cappuccino
23.02,Cortado
18.12,Espresso
23.02,Cortado
32.82,Cocoa
32.82,Latte
27.92,Americano with Milk
18.12,Espresso
23.02,Cortado
23.02,Cortado
32.82,Latte
32.82,Latte
27.92,Americano with Milk
27.92,Americano with Milk
32.82,Cappuccino
32.82,Cappuccino
32.82,Latte
23.02,Americano
32.82,Cappuccino
32.82,Latte
27.92,Americano with Milk
32.82,Cappuccino
27.92,Americano with Milk
27.92,Americano with Milk
18.12,Espresso
27.92,Americano with Milk
18.12,Espresso
32.82,Latte
32.82,Cappuccino
32.82,Cappuccino
27.92,Americano with Milk
27.92,Americano with Milk
32.82,Latte
32.82,Cappuccino
18.12,Espresso
27.92,Americano with Milk
32.82,Latte
32.82,Latte
23.02,Americano
27.92,Americano with Milk
23.02,Americano
27.92,Americano with Milk
32.82,Cappuccino
32.82,Hot Chocolate
32.82,Hot Chocolate
32.82,Cappuccino
23.02,Americano
32.82,Cocoa
27.92,Americano with Milk
23.02,Cortado
32.82,Cappuccino
27.92,Americano with Milk
23.02,Cortado
27.92,Americano with Milk
32.82,Latte
23.02,Americano
18.12,Espresso
27.92,Americano with Milk
27.92,Americano with Milk
27.92,Americano with Milk
27.92,Americano with Milk
32.82,Latte
27.92,Americano with Milk
23.02,Cortado
27.92,Americano with Milk
18.12,Espresso
27.92,Americano with Milk
27.92,Americano with Milk
27.92,Americano with Milk
32.82,Latte
23.02,Americano
32.82,Cappuccino
27.92,Americano with Milk
27.92,Americano with Milk
27.92,Americano with Milk
23.02,Americano
23.02,Americano
27.92,Americano with Milk
32.82,Cocoa
32.82,Latte
27.92,Americano with Milk
23.02,Cortado
32.82,Latte
23.02,Cortado
32.82,Latte
32.82,Cocoa
23.02,Cortado
32.82,Latte
32.82,Cappuccino
23.02,Cortado
27.92,Americano with Milk
32.82,Latte
32.82,Latte
32.82,Latte
27.92,Americano with Milk
27.92,Americano with Milk
27.92,Americano with Milk
27.92,Americano with Milk
23.02,Cortado
32.82,Cappuccino
32.82,Cappuccino
27.92,Americano with Milk
27.92,Americano with Milk
23.02,Americano
23.02,Americano
32.82,Cappuccino
27.92,Americano with Milk
27.92,Americano with Milk
23.02,Cortado
27.92,Americano with Milk
32.82,Latte
27.92,Americano with Milk
27.92,Americano with Milk
27.92,Americano with Milk
27.92,Americano with Milk
23.02,Cortado
23.02,Cortado
18.12,Espresso
27.92,Americano with Milk
27.92,Americano with Milk
27.92,Americano with Milk
32.82,Cappuccino
32.82,Latte
32.82,Latte
32.82,Cappuccino
27.92,Americano with Milk
32.82,Cappuccino
27.92,Americano with Milk
32.82,Cappuccino
32.82,Cappuccino
23.02,Cortado
27.92,Americano with Milk
23.02,Cortado
32.82,Cappuccino
32.82,Latte
32.82,Latte
32.82,Latte
27.92,Americano with Milk
32.82,Latte
32.82,Latte
32.82,Cocoa
32.82,Cocoa
27.92,Americano with Milk
23.02,Cortado
32.82,Hot Chocolate
32.82,Cappuccino
32.82,Latte
32.82,Cocoa
32.82,Latte
27.92,Americano with Milk
32.82,Latte
27.92,Americano with Milk
23.02,Americano
23.02,Americano
18.12,Espresso
23.02,Americano
32.82,Latte
32.82,Cocoa
32.82,Cappuccino
32.82,Latte
32.82,Latte
18.12,Espresso
23.02,Cortado
27.92,Americano with Milk
23.02,Cortado
23.02,Cortado
32.82,Cappuccino
32.82,Cappuccino
27.92,Americano with Milk
32.82,Latte
23.02,Americano
23.02,Cortado
27.92,Americano with Milk
32.82,Latte
23.02,Americano
23.02,Americano
32.82,Hot Chocolate
32.82,Cappuccino
27.92,Americano with Milk
23.02,Cortado
23.02,Cortado
23.02,Americano
32.82,Latte
27.92,Americano with Milk
32.82,Latte
32.82,Cocoa
32.82,Cocoa
32.82,Cocoa
32.82,Latte
32.82,Latte
27.92,Americano with Milk
32.82,Cappuccino
27.92,Americano with Milk
23.02,Cortado
32.82,Latte
27.92,Americano with Milk
32.82,Cocoa
32.82,Cappuccino
18.12,Espresso
23.02,Cortado
32.82,Latte
32.82,Latte
32.82,Cappuccino
32.82,Hot Chocolate
27.92,Americano with Milk
23.02,Americano
32.82,Latte
32.82,Latte
18.12,Espresso
27.92,Americano with Milk
27.92,Americano with Milk
27.92,Americano with Milk
27.92,Americano with Milk
32.82,Latte
32.82,Cappuccino
32.82,Cappuccino
27.92,Americano with Milk
27.92,Americano with Milk
27.92,Americano with Milk
23.02,Cortado
32.82,Latte
27.92,Americano with Milk
32.82,Latte
32.82,Cappuccino
27.92,Americano with Milk
32.82,Latte
32.82,Cocoa
32.82,Cappuccino
23.02,Cortado
32.82,Latte
32.82,Cappuccino
23.02,Cortado
18.12,Espresso
23.02,Americano
23.02,Americano
32.82,Latte
23.02,Americano
23.02,Cortado
27.92,Americano with Milk
32.82,Latte
23.02,Cortado
32.82,Latte
23.02,Cortado
32.82,Cappuccino
32.82,Hot Chocolate
32.82,Latte
32.82,Latte
32.82,Latte
23.02,Americano
18.12,Espresso
27.92,Americano with Milk
32.82,Hot Chocolate
27.92,Americano with Milk
27.92,Americano with Milk
23.02,Americano
32.82,Cappuccino
18.12,Espresso
27.92,Americano with Milk
32.82,Latte
23.02,Americano
27.92,Americano with Milk
18.12,Espresso
18.12,Espresso
27.92,Americano with Milk
32.82,Cappuccino
27.92,Americano with Milk
23.02,Cortado
23.02,Cortado
27.92,Americano with Milk
23.02,Cortado
32.82,Latte
32.82,Cappuccino
27.92,Americano with Milk
32.82,Latte
32.82,Cappuccino
32.82,Cappuccino
23.02,Cortado
27.92,Americano with Milk
32.82,Cappuccino
27.92,Americano with Milk
27.92,Americano with Milk
27.92,Americano with Milk
23.02,Americano
23.02,Americano
27.92,Americano with Milk
27.92,Americano with Milk
32.82,Latte
32.82,Cocoa
23.02,Cortado
32.82,Latte
18.12,Espresso
23.02,Cortado
27.92,Americano with Milk
23.02,Americano
23.02,Americano
23.02,Americano
32.82,Latte
32.82,Latte
32.82,Latte
32.82,Latte
32.82,Latte
27.92,Americano with Milk
23.02,Cortado
23.02,Americano
27.92,Americano with Milk
23.02,Cortado
32.82,Latte
32.82,Latte
23.02,Cortado
27.92,Americano with Milk
27.92,Americano with Milk
32.82,Latte
32.82,Latte
32.82,Cappuccino
23.02,Americano
32.82,Latte
23.02,Cortado
32.82,Latte
23.02,Americano
23.02,Americano
27.92,Americano with Milk
32.82,Cocoa
23.02,Americano
23.02,Cortado
32.82,Hot Chocolate
23.02,Americano
23.02,Americano
32.82,Latte
23.02,Cortado
23.02,Cortado
23.02,Cortado
18.12,Espresso
18.12,Espresso
23.02,Americano
23.02,Cortado
23.02,Americano
23.02,Americano
32.82,Cappuccino
32.82,Cappuccino
32.82,Latte
23.02,Cortado
23.02,Americano
23.02,Americano
27.92,Americano with Milk
32.82,Latte
32.82,Cappuccino
23.02,Americano
23.02,Americano
27.92,Americano with Milk
32.82,Latte
27.92,Americano with Milk
32.82,Latte
27.92,Americano with Milk
32.82,Cappuccino
23.02,Americano
27.92,Americano with Milk
23.02,Americano
32.82,Latte
27.92,Americano with Milk
27.92,Americano with Milk
23.02,Cortado
27.92,Americano with Milk
18.12,Espresso
27.92,Americano with Milk
23.02,Cortado
23.02,Cortado
23.02,Cortado
32.82,Cappuccino
27.92,Americano with Milk
23.02,Americano
27.92,Americano with Milk
32.82,Latte
27.92,Americano with Milk
32.82,Latte
32.82,Latte
32.82,Latte
32.82,Latte
27.92,Americano with Milk
32.82,Latte
27.92,Americano with Milk
32.82,Cappuccino
32.82,Cocoa
23.02,Americano
23.02,Americano
32.82,Cocoa
32.82,Cappuccino
32.82,Latte
27.92,Americano with Milk
32.82,Cappuccino
32.82,Cocoa
32.82,Cocoa
27.92,Americano with Milk
27.92,Americano with Milk
32.82,Latte
32.82,Cocoa
23.02,Cortado
27.92,Americano with Milk
27.92,Americano with Milk
27.92,Americano with Milk
32.82,Latte
27.92,Americano with Milk
27.92,Americano with Milk
32.82,Latte
23.02,Americano
27.92,Americano with Milk
32.82,Latte
32.82,Latte
27.92,Americano with Milk
32.82,Cappuccino
27.92,Americano with Milk
32.82,Latte
27.92,Americano with Milk
27.92,Americano with Milk
23.02,Americano
32.82,Latte
32.82,Latte
23.02,Americano
27.92,Americano with Milk
32.82,Cappuccino
32.82,Cappuccino
32.82,Cappuccino
23.02,Americano
32.82,Cappuccino
27.92,Americano with Milk
27.92,Americano with Milk
32.82,Cappuccino
32.82,Latte
23.02,Americano
18.12,Espresso
32.82,Latte
32.82,Hot Chocolate
18.12,Espresso
18.12,Espresso
32.82,Latte
32.82,Latte
32.82,Latte
23.02,Cortado
23.02,Cortado
23.02,Cortado
27.92,Americano with Milk
27.92,Americano with Milk
23.02,Cortado
23.02,Americano
18.12,Espresso
18.12,Espresso
32.82,Latte
27.92,Americano with Milk
23.02,Americano
18.12,Espresso
32.82,Latte
23.02,Americano
18.12,Espresso
32.82,Cocoa
32.82,Latte
32.82,Latte
32.82,Latte
32.82,Latte
